citric acid,total sulfur dioxide,density,sulphates,alcohol,Id,quality
0.0,34.0,0.9978,0.56,9.4,0.0,5
0.0,67.0,0.9968,0.68,9.8,1.0,5
0.04,54.0,0.997,0.65,9.8,2.0,5
0.56,60.0,0.998,0.58,9.8,3.0,6
0.0,34.0,0.9978,0.56,9.4,4.0,5
0.0,40.0,0.9978,0.56,9.4,5.0,5
0.06,59.0,0.9964,0.46,9.4,6.0,5
0.0,21.0,0.9946,0.47,10.0,7.0,7
0.02,18.0,0.9968,0.57,9.5,8.0,7
0.08,65.0,0.9959,0.54,9.2,10.0,5
0.0,59.0,0.9943,0.52,9.9,12.0,5
0.29,29.0,0.9974,1.56,9.1,13.0,5
0.56,103.0,0.9969,0.75,10.5,16.0,7
0.51,56.0,0.9969,1.08,9.2,19.0,6
0.31,71.0,0.9982,0.65,9.7,21.0,5
0.21,37.0,0.9966,0.91,9.5,22.0,5
0.11,67.0,0.9968,0.53,9.4,23.0,5
0.14,40.0,0.9968,0.63,9.7,24.0,6
0.16,23.0,0.9955,0.56,9.3,25.0,5
0.24,11.0,0.9962,0.59,9.5,26.0,5
0.0,35.0,0.9972,0.55,9.4,28.0,5
0.0,16.0,0.9964,0.59,9.8,29.0,6
0.07,82.0,0.9958,0.54,10.1,30.0,5
0.12,113.0,0.9966,0.66,9.8,32.0,5
0.25,50.0,0.9957,0.55,9.2,34.0,5
0.0,18.0,0.9986,0.55,9.6,35.0,6
0.14,15.0,0.9975,0.6,10.8,36.0,6
0.28,30.0,0.9968,0.73,9.7,37.0,7
0.36,87.0,0.9978,0.83,10.5,40.0,5
0.3,46.0,0.9976,0.51,9.3,41.0,4
0.2,14.0,0.9968,0.9,10.5,42.0,6
0.22,23.0,0.9968,1.2,10.3,43.0,5
0.15,65.0,0.9934,0.56,13.1,45.0,4
0.43,114.0,0.997,0.73,9.2,46.0,5
0.26,23.0,0.9971,0.74,9.2,50.0,5
0.04,15.0,0.9956,0.63,9.4,51.0,6
0.04,14.0,0.9955,0.64,9.4,52.0,6
0.36,119.0,0.997,0.56,9.4,53.0,5
0.15,73.0,0.9955,0.63,10.2,54.0,6
0.57,10.0,0.9971,0.63,9.6,56.0,5
0.18,54.0,0.9975,0.59,10.0,58.0,5
0.31,46.0,0.9962,0.54,9.4,59.0,6
0.4,52.0,0.998,0.64,9.2,60.0,5
0.49,112.0,0.9968,0.71,9.3,61.0,5
0.05,54.0,0.9966,0.57,9.8,63.0,5
0.05,11.0,0.9962,0.39,10.9,64.0,5
0.05,11.0,0.9962,0.39,10.9,65.0,5
0.07,15.0,0.9962,0.58,10.7,67.0,5
0.05,19.0,0.9962,0.95,10.5,69.0,6
0.22,94.0,0.9961,0.48,9.5,72.0,5
0.26,43.0,0.9976,0.53,9.2,73.0,4
0.64,42.0,0.9986,0.66,10.5,76.0,5
0.0,30.0,0.9966,0.55,10.7,77.0,6
0.12,80.0,0.9958,0.52,10.1,78.0,5
0.2,119.0,0.9972,1.12,9.1,79.0,4
0.2,15.0,0.9958,0.56,9.2,80.0,5
0.47,73.0,0.997,0.57,9.1,82.0,5
0.48,61.0,0.9959,0.78,10.3,84.0,6
0.15,40.0,0.9961,0.59,10.1,85.0,5
0.28,136.0,0.9972,1.95,9.9,86.0,6
0.26,31.0,0.9966,0.64,9.6,87.0,5
0.44,125.0,0.9978,1.22,9.5,88.0,5
0.08,24.0,0.9978,0.53,9.0,89.0,5
0.26,140.0,0.9964,0.54,9.5,90.0,5
0.28,136.0,0.9972,1.95,9.9,91.0,6
0.26,31.0,0.9966,0.64,9.6,93.0,5
0.04,85.0,0.9938,0.48,10.5,94.0,4
0.0,23.0,0.9965,0.56,10.7,96.0,5
0.06,10.0,0.9967,0.56,9.8,98.0,5
0.18,35.0,0.9972,0.59,9.0,99.0,6
0.3,50.0,0.9972,0.61,10.2,100.0,6
0.18,35.0,0.9972,0.59,9.0,102.0,6
0.22,65.0,0.9967,0.51,9.2,103.0,5
0.24,36.0,0.996,0.48,9.4,104.0,5
0.22,65.0,0.9967,0.51,9.2,105.0,5
0.68,69.0,0.9973,1.31,9.3,106.0,5
0.31,64.0,0.9969,0.79,9.3,107.0,5
0.19,47.0,0.9964,0.93,9.5,110.0,5
0.09,108.0,0.9964,0.66,9.8,111.0,5
0.44,46.0,0.9988,0.67,9.7,113.0,6
0.19,47.0,0.9964,0.93,9.5,114.0,5
0.31,62.0,0.9966,0.63,10.5,115.0,6
0.28,40.0,0.9978,0.61,10.0,116.0,6
0.09,89.0,0.9962,0.57,9.0,120.0,5
0.04,56.0,0.9962,0.6,10.9,121.0,6
0.0,13.0,0.998,0.52,9.2,122.0,5
0.17,102.0,0.996,0.48,9.5,124.0,5
0.0,12.0,0.9964,0.49,10.9,126.0,5
0.0,12.0,0.9964,0.48,10.9,127.0,5
0.16,16.0,0.9962,0.92,10.5,128.0,7
0.56,134.0,0.9968,0.66,9.4,130.0,5
0.09,99.0,0.9937,0.63,13.0,131.0,5
0.05,29.0,0.9959,0.55,9.9,134.0,6
0.11,63.0,0.9965,0.82,9.6,135.0,5
0.36,45.0,0.9972,0.64,9.2,137.0,5
0.11,63.0,0.9965,0.82,9.6,140.0,5
0.0,63.0,0.9916,0.79,14.0,142.0,6
0.08,20.0,0.9954,0.58,9.4,143.0,5
0.0,63.0,0.9916,0.79,14.0,144.0,6
0.55,141.0,0.9968,0.62,9.4,145.0,5
0.02,94.0,0.9944,0.52,10.0,146.0,5
0.1,30.0,0.9959,0.58,10.2,148.0,6
0.47,11.0,0.9958,0.53,10.3,150.0,6
1.0,69.0,0.9996,2.0,9.4,151.0,4
0.03,99.0,0.995,0.54,10.1,152.0,5
0.03,99.0,0.995,0.54,10.1,153.0,5
0.42,128.0,0.9973,0.71,10.5,155.0,5
0.42,129.0,0.9973,0.72,10.5,156.0,5
0.42,128.0,0.9973,0.71,10.5,157.0,5
0.0,22.0,0.9969,0.5,9.3,158.0,5
0.18,86.0,0.9968,0.57,9.3,159.0,6
0.03,20.0,0.9959,0.56,9.6,160.0,5
0.02,20.0,0.9965,1.08,9.2,161.0,4
0.04,31.0,0.9964,0.56,10.0,162.0,6
0.26,121.0,0.9982,0.49,9.4,163.0,5
0.26,121.0,0.9981,0.49,9.4,164.0,5
0.48,96.0,0.9961,0.62,9.5,165.0,5
0.1,101.0,0.9956,0.52,10.2,166.0,5
0.03,42.0,0.9956,0.48,9.0,167.0,4
0.07,44.0,0.9953,0.55,10.4,168.0,6
0.03,8.0,0.9972,0.33,9.1,170.0,4
0.17,18.0,0.9972,0.61,9.2,172.0,6
0.05,42.0,0.9961,0.57,11.5,173.0,6
0.04,49.0,0.9958,0.78,9.5,175.0,5
0.21,35.0,0.9961,0.47,9.5,176.0,5
0.42,38.0,0.9972,0.61,10.5,177.0,6
0.0,20.0,0.9969,0.56,9.6,178.0,5
0.14,42.0,0.9969,0.59,9.5,179.0,5
0.14,42.0,0.9969,0.59,9.5,180.0,5
0.49,110.0,0.9972,1.02,9.3,181.0,5
0.02,42.0,0.9972,0.52,9.3,182.0,5
0.2,65.0,0.9971,0.58,9.3,183.0,5
0.21,62.0,0.997,0.58,9.3,184.0,6
0.57,85.0,0.9971,0.53,9.7,185.0,5
0.48,67.0,0.9972,0.55,9.2,186.0,5
0.33,143.0,0.9968,0.55,9.5,188.0,5
0.35,127.0,0.9976,0.62,9.4,190.0,5
0.25,49.0,0.9974,0.62,9.8,191.0,6
0.21,28.0,0.9964,0.55,9.7,193.0,5
0.21,28.0,0.9964,0.55,9.7,194.0,5
0.3,55.0,0.9968,0.59,10.2,196.0,5
0.6,27.0,0.9981,0.97,10.1,197.0,6
0.06,31.0,0.9948,0.43,11.4,199.0,4
0.47,24.0,0.99695,0.82,10.3,200.0,7
0.36,37.0,0.99615,0.56,9.2,204.0,6
0.74,28.0,0.9994,0.77,10.8,205.0,7
0.74,28.0,0.9994,0.77,10.8,206.0,7
0.28,95.0,0.9966,0.67,9.4,208.0,5
0.6,19.0,0.99585,0.86,12.4,210.0,6
0.24,62.0,0.99685,0.56,10.0,211.0,6
0.26,65.0,0.9959,0.43,10.1,213.0,5
0.08,41.0,0.9974,0.71,9.8,214.0,6
0.49,121.0,0.9974,0.76,10.5,215.0,5
0.16,49.0,0.9962,0.57,11.0,216.0,5
0.22,41.0,0.9967,0.55,9.1,217.0,5
0.19,44.0,0.9957,0.54,9.7,218.0,5
0.37,58.0,0.9964,0.59,9.4,220.0,6
0.26,72.0,0.9957,0.57,9.4,221.0,5
0.04,10.0,0.99525,0.6,9.5,222.0,5
0.25,28.0,0.99815,0.6,10.0,223.0,6
0.25,63.0,0.99615,0.58,10.5,225.0,6
0.5,81.0,0.9964,1.61,9.5,226.0,6
0.04,106.0,0.9927,0.62,12.2,230.0,7
0.06,49.0,0.99625,0.52,9.9,231.0,6
0.2,58.0,0.998,0.7,9.6,232.0,6
0.09,37.0,0.99685,0.55,9.0,234.0,6
0.0,38.0,0.99675,0.58,9.0,235.0,6
0.37,62.0,0.9971,1.09,9.3,240.0,5
0.56,24.0,0.99925,0.71,10.9,241.0,6
0.1,109.0,0.99565,0.49,9.8,242.0,6
0.44,24.0,1.00005,0.84,9.2,243.0,7
0.44,24.0,1.00005,0.84,9.2,244.0,7
0.0,23.0,0.9983,0.96,9.9,245.0,6
0.07,51.0,0.99685,0.52,9.5,246.0,5
0.0,23.0,0.9983,0.96,9.9,249.0,6
0.44,37.0,0.9985,0.78,10.0,250.0,6
0.0,34.0,0.9972,0.7,9.9,251.0,6
0.48,21.0,0.9986,0.53,10.5,252.0,5
0.42,86.0,0.9959,0.59,9.5,253.0,5
0.23,119.0,0.99675,0.57,9.3,255.0,5
0.37,13.0,0.998,0.62,9.2,256.0,5
0.0,56.0,0.9968,0.67,9.2,257.0,5
0.76,45.0,0.9968,1.26,9.4,258.0,5
0.47,33.0,0.99965,0.8,10.5,259.0,7
0.23,45.0,0.99625,0.65,9.3,260.0,5
0.04,67.0,0.99565,0.6,9.4,261.0,4
0.03,35.0,0.99575,0.57,10.0,262.0,5
0.23,49.0,0.9963,0.67,9.3,263.0,5
0.49,27.0,0.9999,0.87,10.9,264.0,5
0.0,61.0,1.00025,0.72,9.8,266.0,4
0.46,37.0,0.9973,0.86,12.8,267.0,8
0.04,27.0,0.9987,0.91,9.4,268.0,6
0.51,23.0,0.9996,0.97,10.1,269.0,6
0.06,61.0,0.9965,0.67,10.7,270.0,6
0.06,61.0,0.9965,0.67,10.7,275.0,6
0.04,27.0,0.9987,0.91,9.4,276.0,6
0.51,23.0,0.9996,0.97,10.1,277.0,6
0.45,13.0,0.9976,0.82,12.6,278.0,8
0.32,47.0,0.9991,0.77,10.5,279.0,7
0.44,19.0,0.9986,0.82,9.3,280.0,6
0.68,10.0,0.9972,1.08,9.9,281.0,7
0.32,47.0,0.9991,0.77,10.5,283.0,7
0.07,71.0,1.00015,0.71,9.8,284.0,5
0.07,71.0,1.00015,0.71,9.8,285.0,5
0.55,49.0,0.9997,0.76,10.3,286.0,6
0.12,53.0,0.9967,0.7,10.3,287.0,6
0.09,49.0,0.9976,0.86,10.6,288.0,7
0.53,98.0,1.001,0.95,9.2,289.0,5
0.09,49.0,0.9976,0.86,10.6,290.0,7
0.23,48.0,0.9994,0.64,10.3,292.0,6
0.25,16.0,0.9964,0.6,10.1,293.0,6
0.52,53.0,1.0014,0.81,9.5,294.0,6
0.46,27.0,1.0001,0.64,9.5,295.0,5
0.37,70.0,0.9981,0.52,9.9,296.0,5
0.06,29.0,0.99855,0.73,9.6,297.0,5
0.02,31.0,0.9993,0.8,9.7,298.0,5
0.06,44.0,0.9965,0.59,10.7,300.0,6
0.48,15.0,0.9973,0.64,10.1,301.0,6
0.12,28.0,0.9994,0.72,10.0,302.0,5
0.6,90.0,0.9973,0.52,9.2,304.0,5
0.32,54.0,0.9966,0.52,9.4,306.0,5
0.42,14.0,0.9994,0.62,9.5,307.0,6
0.44,12.0,0.9994,0.63,9.5,308.0,6
0.24,105.0,0.996,0.54,9.4,311.0,6
0.31,98.0,0.99815,0.63,9.5,312.0,6
0.3,135.0,0.9976,0.53,9.4,313.0,5
0.29,72.0,0.99645,0.68,11.0,314.0,5
0.39,59.0,0.9989,0.71,11.5,318.0,7
0.12,74.0,0.99865,0.64,10.4,319.0,6
0.26,87.0,0.99975,0.62,9.7,321.0,5
0.2,50.0,1.0015,0.69,9.2,324.0,6
0.2,50.0,1.0015,0.69,9.2,325.0,6
0.66,14.0,0.9978,0.74,11.5,326.0,7
0.5,13.0,0.998,0.83,11.5,327.0,5
0.62,21.0,1.0002,0.67,9.7,328.0,6
0.08,44.0,0.9958,0.52,11.0,333.0,5
0.01,38.0,0.9963,0.74,11.7,334.0,7
0.53,21.0,0.9992,0.84,12.2,335.0,7
0.45,16.0,0.9948,0.7,12.5,336.0,6
0.32,58.0,0.9974,0.64,10.3,337.0,5
0.54,29.0,0.9997,1.36,9.8,339.0,7
0.47,14.0,0.9982,0.75,9.8,342.0,6
0.47,14.0,0.9982,0.75,9.8,343.0,6
0.5,32.0,1.0006,0.78,10.7,344.0,6
0.67,15.0,0.9986,0.93,12.0,347.0,6
0.31,46.0,0.9979,0.92,10.0,348.0,6
0.0,26.0,0.9994,0.83,9.4,351.0,6
0.0,19.0,0.9974,0.73,9.3,352.0,5
0.79,77.0,1.0018,0.77,13.0,353.0,5
0.4,165.0,0.9912,0.59,11.9,354.0,6
0.01,32.0,0.9955,0.61,12.8,355.0,6
0.52,55.0,1.0001,0.88,11.0,356.0,5
0.66,29.0,0.997,0.75,11.7,357.0,7
0.66,23.0,1.0,0.85,10.4,358.0,7
0.66,41.0,1.001,0.68,9.8,359.0,6
0.23,81.0,0.9973,0.7,9.4,360.0,5
0.31,50.0,0.9982,0.91,9.9,361.0,6
0.66,37.0,0.9992,0.56,10.0,362.0,5
0.63,15.0,0.9988,0.87,10.2,363.0,5
0.66,42.0,1.0022,0.73,10.0,364.0,7
0.66,42.0,1.0022,0.73,10.0,366.0,7
0.61,24.0,1.0,0.69,9.0,367.0,5
0.53,18.0,0.9962,1.13,12.0,369.0,7
0.4,25.0,0.9967,0.87,8.7,371.0,6
0.48,46.0,0.9967,1.04,10.6,372.0,6
0.5,47.0,1.0003,1.11,11.0,376.0,6
0.53,18.0,0.9962,1.13,12.0,377.0,7
0.66,24.0,0.9988,0.99,13.3,378.0,6
0.42,27.0,0.9974,0.8,9.4,380.0,6
0.28,54.0,0.998,0.74,9.2,384.0,5
0.26,53.0,0.9981,0.74,9.2,388.0,6
0.05,88.0,0.9924,0.82,12.9,390.0,8
0.68,43.0,1.0014,0.8,10.0,391.0,6
0.52,26.0,0.998,0.51,9.5,392.0,5
0.76,38.0,1.0004,0.6,13.0,395.0,7
0.02,124.0,0.9994,0.53,9.9,396.0,5
0.59,49.0,0.9988,0.65,11.0,397.0,6
0.22,42.0,0.9963,0.55,9.4,399.0,5
0.02,124.0,0.9994,0.53,9.9,400.0,5
0.54,64.0,1.0,0.61,10.5,402.0,6
0.49,41.0,0.9994,0.63,10.5,403.0,6
0.05,27.0,0.9974,0.61,9.1,404.0,5
0.47,28.0,0.9981,0.65,10.8,406.0,6
0.66,30.0,0.9996,0.63,10.8,407.0,7
0.49,49.0,0.9981,0.57,9.6,409.0,4
0.34,86.0,0.9987,0.62,9.5,410.0,6
0.16,77.0,0.9966,0.64,9.3,412.0,5
0.53,19.0,0.9986,0.82,11.7,413.0,7
0.34,122.0,0.9982,0.61,9.5,414.0,5
0.24,134.0,1.0014,1.07,9.3,415.0,5
0.64,20.0,0.997,0.66,11.7,416.0,6
0.12,124.0,0.9956,0.48,10.5,417.0,5
0.51,20.0,0.9996,0.76,10.4,418.0,6
0.0,52.0,0.9976,0.68,9.9,419.0,5
0.03,48.0,0.9952,0.56,12.3,421.0,7
0.2,60.0,0.9955,0.44,10.9,422.0,5
0.47,24.0,0.9978,0.9,11.0,423.0,7
0.03,48.0,0.9952,0.56,12.3,425.0,7
0.08,48.0,0.9949,0.49,11.4,426.0,6
0.22,32.0,0.9988,0.56,10.6,427.0,6
0.33,30.0,0.9978,0.6,9.3,428.0,5
0.63,35.0,0.9997,0.6,10.4,429.0,6
0.47,24.0,0.9978,0.9,11.0,430.0,7
0.35,66.0,0.9974,0.56,9.2,431.0,5
0.63,18.0,1.0004,0.49,9.5,433.0,5
0.55,54.0,0.9996,0.89,9.9,434.0,6
0.63,18.0,1.0004,0.49,9.5,435.0,5
0.3,62.0,0.9958,0.56,10.2,436.0,6
0.73,22.0,0.9986,0.66,11.2,437.0,6
0.18,50.0,0.9951,0.6,9.3,439.0,5
0.72,29.0,0.9987,0.82,9.8,440.0,8
0.76,43.0,1.0032,0.68,11.2,442.0,7
0.01,27.0,0.9934,0.84,12.5,444.0,7
0.6,72.0,0.9996,0.73,10.5,446.0,5
0.29,16.0,0.9968,0.72,11.2,447.0,5
0.22,27.0,0.9967,0.56,10.2,448.0,6
0.69,35.0,0.9994,0.61,10.8,449.0,6
0.69,35.0,0.9994,0.61,10.8,450.0,6
0.03,35.0,0.9968,0.63,10.0,452.0,6
0.63,22.0,0.9998,0.74,11.2,453.0,7
0.4,67.0,0.9952,0.63,11.1,454.0,5
0.67,19.0,0.9988,0.69,13.4,455.0,8
0.39,22.0,0.9986,0.58,10.3,456.0,5
0.21,65.0,0.9988,0.58,9.6,457.0,5
0.66,47.0,1.0008,0.57,9.0,459.0,3
0.52,23.0,0.9976,0.61,11.3,460.0,6
0.22,19.0,0.9982,0.61,9.3,461.0,5
0.54,15.0,0.9987,0.7,9.2,464.0,6
0.42,51.0,0.9982,0.72,11.5,466.0,6
0.45,18.0,0.9947,0.79,14.0,467.0,6
0.69,21.0,1.0,0.62,9.2,468.0,6
0.02,48.0,0.9952,0.58,9.8,469.0,5
0.65,47.0,0.9996,0.61,10.6,470.0,5
0.42,52.0,0.997,0.71,11.4,471.0,6
0.55,68.0,0.9995,0.82,10.4,472.0,6
0.24,28.0,0.9988,0.6,10.2,475.0,5
0.41,16.0,0.998,0.7,9.7,476.0,5
0.49,20.0,0.9977,1.06,11.0,477.0,6
0.11,31.0,0.9984,0.7,10.1,479.0,6
0.39,23.0,1.0026,0.66,9.2,480.0,5
0.56,17.0,0.9964,0.92,11.7,481.0,8
0.6,18.0,0.9986,1.06,9.4,483.0,5
0.39,17.0,0.9976,0.47,10.0,485.0,5
0.36,14.0,0.9982,0.42,10.0,487.0,6
0.4,26.0,0.9984,0.75,10.2,489.0,6
0.5,25.0,0.9952,0.79,13.3,491.0,7
0.51,27.0,0.995,0.9,13.4,492.0,7
0.31,81.0,1.0002,0.74,11.6,493.0,6
0.23,91.0,0.9952,0.55,12.1,494.0,6
0.53,16.0,0.9972,0.65,11.0,495.0,8
0.25,38.0,0.9984,0.65,9.0,496.0,6
0.32,113.0,0.9966,0.79,11.1,497.0,5
0.53,16.0,0.9972,0.65,11.0,498.0,8
0.31,81.0,1.0002,0.74,11.6,499.0,6
0.25,38.0,0.9984,0.65,9.0,500.0,6
0.73,76.0,0.999,0.85,12.0,501.0,7
0.73,76.0,0.999,0.85,12.0,502.0,7
0.42,22.0,0.9976,1.05,10.8,504.0,7
0.63,26.0,0.9968,0.78,12.5,505.0,7
0.46,21.0,0.9976,1.02,10.8,506.0,7
0.55,13.0,1.0,0.71,9.5,507.0,6
0.75,43.0,0.9986,0.68,11.4,509.0,7
0.31,62.0,0.9994,0.63,10.2,511.0,6
0.48,49.0,0.998,0.81,9.7,512.0,6
0.64,15.0,0.9973,0.66,11.8,513.0,7
0.64,15.0,0.9973,0.66,11.8,514.0,7
0.49,151.0,1.001,1.14,9.3,515.0,5
0.49,14.0,1.001,0.74,11.9,516.0,6
0.49,16.0,0.9994,0.63,8.4,517.0,3
0.49,33.0,0.9982,0.9,10.0,520.0,6
0.49,142.0,0.9978,0.55,9.4,523.0,5
0.49,116.0,0.9976,0.64,9.5,524.0,5
0.49,85.0,0.9962,0.77,11.4,527.0,6
0.24,33.0,0.9974,0.57,9.4,529.0,5
0.24,28.0,0.999,0.87,10.3,530.0,6
0.49,42.0,1.0004,0.61,10.3,531.0,5
0.49,42.0,1.0004,0.61,10.3,532.0,5
0.24,33.0,0.9956,0.66,12.8,533.0,6
0.24,32.0,1.0,0.56,10.0,534.0,6
0.24,28.0,0.999,0.87,10.3,535.0,6
0.24,33.0,0.9974,0.57,9.4,536.0,5
0.24,13.0,0.9972,0.77,10.7,537.0,6
0.49,35.0,1.0014,0.66,12.0,538.0,7
0.74,17.0,0.9996,0.62,11.2,539.0,5
0.24,47.0,0.9988,0.67,9.6,540.0,5
0.49,17.0,0.9988,0.73,11.0,541.0,6
0.24,20.0,0.9966,0.59,9.9,542.0,5
0.24,53.0,0.9993,0.72,11.0,543.0,6
0.74,15.0,1.0008,0.79,8.4,544.0,6
0.49,106.0,0.9982,0.59,9.1,545.0,5
